addAtIndex, , addToFront, , addToBack, , removeAtIndex, , removeFromFront, , removeFromBack, , get, , 
n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), n, Runtime (ns), 
54001, 187576, 54002, 2839, 54003, 2265, 54002, 63702, 54001, 2324, 54000, 1706, 54001, 51148, 
55001, 152260, 55002, 1833, 55003, 2433, 55002, 60991, 55001, 1997, 55000, 1481, 55001, 48902, 
56001, 152309, 56002, 1616, 56003, 1524, 56002, 61664, 56001, 1742, 56000, 1384, 56001, 50012, 
57001, 145339, 57002, 1351, 57003, 1359, 57002, 56897, 57001, 1518, 57000, 1179, 57001, 48570, 
58001, 150641, 58002, 1450, 58003, 1484, 58002, 62713, 58001, 1668, 58000, 1102, 58001, 50070, 
59001, 152329, 59002, 1311, 59003, 1561, 59002, 67758, 59001, 1675, 59000, 1396, 59001, 54839, 
60001, 152112, 60002, 2545, 60003, 2206, 60002, 70373, 60001, 2452, 60000, 1556, 60001, 59956, 
61001, 97933, 61002, 1663, 61003, 1644, 61002, 71712, 61001, 2140, 61000, 1207, 61001, 56604, 
62001, 93985, 62002, 1486, 62003, 1661, 62002, 75222, 62001, 1950, 62000, 949, 62001, 58615, 
63001, 95336, 63002, 1454, 63003, 1357, 63002, 70771, 63001, 1449, 63000, 962, 63001, 61351, 
64001, 115230, 64002, 1939, 64003, 1575, 64002, 75853, 64001, 1916, 64000, 1324, 64001, 61025, 
65001, 207929, 65002, 1798, 65003, 1770, 65002, 77498, 65001, 2398, 65000, 1553, 65001, 64247, 
66001, 119972, 66002, 2746, 66003, 1618, 66002, 72543, 66001, 1642, 66000, 1024, 66001, 55493, 
67001, 127333, 67002, 1887, 67003, 1521, 67002, 65088, 67001, 2475, 67000, 1610, 67001, 58211, 
68001, 94685, 68002, 1502, 68003, 1763, 68002, 69181, 68001, 2154, 68000, 1218, 68001, 60425, 
69001, 95993, 69002, 1608, 69003, 46062, 69002, 89052, 69001, 2887, 69000, 1408, 69001, 97039, 
70001, 338477, 70002, 4022, 70003, 2774, 70002, 78557, 70001, 2715, 70000, 1711, 70001, 141132, 
71001, 111697, 71002, 1701, 71003, 1958, 71002, 80918, 71001, 2762, 71000, 1658, 71001, 67002, 
72001, 107580, 72002, 1313, 72003, 1816, 72002, 74616, 72001, 1614, 72000, 1006, 72001, 64451, 
73001, 106481, 73002, 1949, 73003, 1466, 73002, 77595, 73001, 1696, 73000, 1278, 73001, 68794, 
74001, 98857, 74002, 1854, 74003, 1666, 74002, 84226, 74001, 2919, 74000, 1524, 74001, 70587, 
75001, 126719, 75002, 2971, 75003, 2112, 75002, 87471, 75001, 2754, 75000, 1505, 75001, 78801, 
76001, 103740, 76002, 1997, 76003, 1763, 76002, 83059, 76001, 2803, 76000, 1479, 76001, 69279, 
77001, 105721, 77002, 1872, 77003, 2087, 77002, 82925, 77001, 2306, 77000, 1477, 77001, 72933, 
78001, 102265, 78002, 1328, 78003, 1825, 78002, 79431, 78001, 2242, 78000, 1575, 78001, 74677, 
79001, 104864, 79002, 1827, 79003, 1854, 79002, 86208, 79001, 2558, 79000, 1618, 79001, 72776, 
80001, 106318, 80002, 1561, 80003, 1547, 80002, 125788, 80001, 3843, 80000, 1729, 80001, 84943, 
81001, 107050, 81002, 1515, 81003, 1680, 81002, 111153, 81001, 2699, 81000, 1438, 81001, 74970, 
82001, 123156, 82002, 1540, 82003, 1766, 82002, 90452, 82001, 58503, 82000, 2836, 82001, 97068, 
83001, 121867, 83002, 1740, 83003, 1880, 83002, 89128, 83001, 2163, 83000, 2850, 83001, 109563, 
84001, 112643, 84002, 1646, 84003, 1926, 84002, 90333, 84001, 2028, 84000, 1437, 84001, 108493, 
85001, 114825, 85002, 1417, 85003, 1845, 85002, 92323, 85001, 2655, 85000, 1521, 85001, 78146, 
86001, 112732, 86002, 1630, 86003, 1571, 86002, 108645, 86001, 53991, 86000, 1751, 86001, 96378, 
87001, 115085, 87002, 2032, 87003, 1664, 87002, 95578, 87001, 2682, 87000, 1575, 87001, 82711, 
88001, 159913, 88002, 2746, 88003, 1810, 88002, 94302, 88001, 2078, 88000, 1480, 88001, 81399, 
89001, 164826, 89002, 1095, 89003, 1494, 89002, 92029, 89001, 2100, 89000, 1341, 89001, 114688, 
90001, 173748, 90002, 1586, 90003, 1713, 90002, 116459, 90001, 3058, 90000, 1516, 90001, 136757, 
91001, 188756, 91002, 2261, 91003, 1810, 91002, 98284, 91001, 2374, 91000, 15897, 91001, 103502, 
92001, 357608, 92002, 4757, 92003, 2602, 92002, 127293, 92001, 4371, 92000, 1901, 92001, 100397, 
93001, 184629, 93002, 2194, 93003, 2226, 93002, 103483, 93001, 3098, 93000, 1729, 93001, 91562, 
94001, 174650, 94002, 1371, 94003, 1860, 94002, 96999, 94001, 1755, 94000, 1406, 94001, 88349, 
95001, 179180, 95002, 1946, 95003, 1549, 95002, 102323, 95001, 2552, 95000, 1293, 95001, 89221, 
96001, 185787, 96002, 2694, 96003, 2239, 96002, 106363, 96001, 3312, 96000, 1563, 96001, 99388, 
97001, 187161, 97002, 2578, 97003, 2167, 97002, 107866, 97001, 3270, 97000, 1821, 97001, 97444, 
98001, 199368, 98002, 2739, 98003, 2397, 98002, 113515, 98001, 3437, 98000, 1641, 98001, 101080, 
99001, 190481, 99002, 2390, 99003, 2221, 99002, 112996, 99001, 3899, 99000, 1737, 99001, 101105, 
